tumor,total_snvs,Signature_APOBEC_ml,Signature_3_ml,Signature_8_ml,Signature_17_ml,Signature_clock_ml,Signature_3_c,exp_sig3,Signature_3_l_rat,Signature_3_mva,pass_mva,pass_mva_strict,sigs_all,exps_all,pass_ml,categ
SA542425,8,0.06850818,0.5355613,0.1096288,0.0315294,0.2547723305,0.250059989325438,1.26939554509391,0.628804279183514,0.206878886782665,FALSE,FALSE,Signature_3.Signature_8.Signature_1.Signature_2.Signature_18,1.26939554509391_1.13187202662215_0.811290326851585_1.53226189294112_2.33416929234802,TRUE,Signature_clock
SA542426,3,0.01285678,0.33444958,0.112781,0.40520043,0.1347121762,0.153663688985568,0,0,0.14790075421133,FALSE,FALSE,Signature_5.Signature_17,2.27157919071229_0.853439508049282,FALSE,Signature_17
SA542427,3,0.140105406,0.54127111,0.09264943,0.07349873,0.1524752993,0.220040652185131,0,0,0.157134720588025,FALSE,FALSE,Signature_8.Signature_2,2.52161946679856_1.72094261211733,TRUE,Signature_clock
SA542492,5,0.08796819,0.38914039,0.04293606,0.27629607,0.2036592493,0.154212207463151,0.506690927438666,0.473565449909431,0.127112924465111,FALSE,FALSE,Signature_3.Signature_5.Signature_2,0.506690927438666_2.10808483608_1.69631622813978,FALSE,Signature_17
SA542525,17,0.9958605555,0.00413944367254526,0,7.1327387e-11,4.815254e-11,0.311681255542962,2.19081650045554,0.356356474371914,0.0989987186774898,FALSE,FALSE,Signature_3.Signature_2.Signature_13,2.19081650045554_3.97915525546327_12.5116973929354,FALSE,Signature_APOBEC
SA542640,4,0.03091704,0.42616309,0.1070484,0.01795574,0.4179158091,0.266925987959251,2.78626290350505,0.916933524276355,0.160763800154312,FALSE,FALSE,Signature_3.Signature_1,2.78626290350505_2.90989656489672,FALSE,Signature_clock
SA542641,3,0.227986071,0.09599327,0.08116893,0,0.5948516795,0.066108017411043,0,0,0.0328899290032798,FALSE,FALSE,Signature_1.Signature_2.Signature_17,1.49409384540614_0.862922272340908_0.349347354325887,FALSE,Signature_clock
SA542683,2,0.04103388,0.53534377,0.06827779,0.12051337,0.2348312969,0.136438928311668,1.51176827386693,0.578417562083366,0.276209086064879,FALSE,FALSE,Signature_3.Signature_5,1.51176827386693_0.178103819703858,TRUE,Signature_clock
SA542695,2,0.04640781,0.36940331,0.1100238,0.07606899,0.3980961042,0.134407710288364,0,0,0.122454019767117,FALSE,FALSE,Signature_18,2.56498843929459,FALSE,Signature_clock
SA542735,4,0.07753559,0.6149006,0.05217189,0.11614404,0.139247783,0.108120757795813,0.422688556577156,0.591451819795033,0.216031684027526,FALSE,FALSE,Signature_3.Signature_5.Signature_2,0.422688556577156_0.101236652006348_1.80321057910314,TRUE,Signature_clock
SA542783,4,0.02518359,0.223543848,0.1316443,0.02898542,0.5906428305,0.140018441747581,0,0,0.0834248834689096,FALSE,FALSE,Signature_8.Signature_1.Signature_5,1.73498150266898_1.25187378906889_0.678206828791134,FALSE,Signature_clock
SA542919,2,0.168730684,0.5720281,0.02100329,0.21079865,0.0274393,0.15568936818734,0,0,0.251617840535439,FALSE,FALSE,Signature_13.Signature_17,1.43128006437301_0.112819855637339,TRUE,Signature_17
SA542923,5,0.409342521,0.49546305,0.02182953,0,0.0733649899,0.272045732781861,5.0956226486063,0.521459473768418,0.286872756081688,FALSE,FALSE,Signature_3.Signature_1.Signature_2.Signature_13,5.0956226486063_0.607861974745252_0.10653321663014_0.491705179781679,FALSE,Signature_APOBEC
SA542938,6,0.01054072,0.262251213,0.08600064,0.03151728,0.6096901341,0.172949762379241,0,0,0.108941062440177,FALSE,FALSE,Signature_1.Signature_5,0.577583966703134_5.65893275318869,FALSE,Signature_clock
SA543023,6,0.62997068,0.20770308,0.01754175,0,0.1447844272,0.213841416313232,0,0,0.0602836569272445,FALSE,FALSE,Signature_8.Signature_1.Signature_2.Signature_13,1.13743784126054_2.02879266091975_1.89786494467391_1.19772326246273,FALSE,Signature_APOBEC
SA543073,6,0.1370009,0.38034298,0.09165812,0.2663278,0.124670149,0.224732637338929,0,0,0.142726643072964,FALSE,FALSE,Signature_1.Signature_5.Signature_13.Signature_18.Signature_17,0.329108400736585_2.12019639189044_1.46143551036313_1.25625988037333_0.630669907680511,FALSE,Signature_17
SA543090,4,0,0.23462914,0.2543229,0.4380368,0.073011145,0.221187902887003,0.197697699233087,0.496058062214869,0.132147128805833,FALSE,FALSE,Signature_3.Signature_8.Signature_13.Signature_18.Signature_17,0.197697699233087_0.242023970462773_0.210728431003159_1.23256563232188_2.88097789144689,FALSE,Signature_17
