tumor	total_snvs	Signature_APOBEC_ml	Signature_3_ml	Signature_8_ml	Signature_17_ml	Signature_clock_ml	Signature_3_c	exp_sig3	Signature_3_l_rat	Signature_3_mva	pass_mva	pass_mva_strict	sigs_all	exps_all	pass_ml	categ
PD31028a	5	0.01182754	0.44644756	0.1762397	0.02464224	0.3408429621	0.2384366951	0	0	0.2145712006	FALSE	FALSE	Signature_8.Signature_1.Signature_5	1.54534005548579_0.583153406086104_3.53086055827681	FALSE	Signature_clock
PD31029a	2	0.2423796394	0.354012	0.0968966	0	0.306711799	0.09825011641	0	0	0.09665657524	FALSE	FALSE	Signature_1.Signature_13.Signature_18.Signature_17	1.41885477656333_0.0584518933676245_0.224390064071605_0.0961211542056163	FALSE	Signature_clock
PD31030a	3	0.03025577	0.6437882	0.09557082	0.06128205	0.1691030893	0.1590161088	1.870634123	0.513534097	0.2373619087	FALSE	FALSE	Signature_3.Signature_18	1.87063412325305_0.540937963099347	TRUE	Signature_clock
PD31031a	3	0.005620178	0.19850022	0.04641618	0.6908277	0.05863575	0.1071599234	0.3913437076	0.4854322499	0.1883675147	FALSE	FALSE	Signature_3.Signature_8.Signature_5.Signature_17	0.391343707628087_0.0472928256134238_1.01950779167845_0.472627763343622	FALSE	Signature_17
PD31033a	3	0.7159024287	0.264767524	0	0.012529742	0.006800289	0.2911267937	1.550524599	0.2791300887	0.1385562056	FALSE	FALSE	Signature_3.Signature_2.Signature_13	1.55052459918029_0.492704402641594_1.8768957683457	FALSE	Signature_APOBEC
PD31040a	27	1.01E-06	0.1351311409	0.7955381	0.01014293723	0.0591867776	0.364649557	0	0	0.3965006769	TRUE	FALSE	Signature_8.Signature_5.Signature_2.Signature_18.Signature_17	4.27460966066163_11.5926273730598_0.0418683769108321_6.34081345228929_4.79026915492686	FALSE	Signature_3_lc
PD31041a	7	0.03518958	0.49199029	0.07332471	0.2479211	0.1515743241	0.2640615453	2.722523005	0.4265811174	0.2642889472	FALSE	FALSE	Signature_3.Signature_5.Signature_2.Signature_18.Signature_17	2.72252300496195_2.23311400144711_1.13650671225811_0.470293991527982_0.243135004275291	FALSE	Signature_17
PD31042a	5	0.035917	0.7727257	0.05595012	0.07190515	0.06350203	0.2923682797	5.131992629	0.8099714987	0.637327048	TRUE	TRUE	Signature_3.Signature_1.Signature_2	5.13199262859263_0.51750813161619_0.2189736592959	TRUE	Signature_3_hc
PD31043a	5	0	0.34130849	0.2787673	0.29658229	0.0833419579	0.2366280852	0	0	0.2246018449	FALSE	FALSE	Signature_8.Signature_13.Signature_17	3.21169373826524_0.0684468497138443_2.67540793844115	FALSE	Signature_17
PD31044a	18	3.71E-05	0.9661951622	0.01178214	0.004444072	0.0175415467	0.3755835519	7.075699786	0.4242917687	0.9254398615	TRUE	TRUE	Signature_3.Signature_5.Signature_13.Signature_18	7.0756997862288_6.95581806192317_0.956098860764414_1.23685209985344	TRUE	Signature_3_hc
PD31046a	1	0.09365496	0.20892219	0.1198798	0.05739569	0.5201473473	0.03240580568	0	0	0.09255345928	FALSE	FALSE	Signature_1	1.636123312	FALSE	Signature_clock
PD31047a	5	0.01706314	0.258942706	0.1734518	0.21546678	0.3350754942	0.1912633904	0	0	0.1047252999	FALSE	FALSE	Signature_1.Signature_5.Signature_17	0.791867116356371_4.46491590517474_0.137279289546554	FALSE	Signature_clock
PD31049a	5	0.0941574551	0.87983845	0.005304412	0.0105362	0.01016358	0.2366408427	0.7631177055	0.6293795348	0.5709284575	TRUE	FALSE	Signature_3.Signature_13.Signature_18	0.763117705510092_2.75236412868447_1.17752239416219	TRUE	Signature_3_lc
PD31051a	6	0.4052344675	0.19214235	0.08094531	0.02331143	0.2983664888	0.2461922198	1.005162686	0.4811374544	0.102007969	FALSE	FALSE	Signature_3.Signature_8.Signature_1.Signature_2.Signature_18	1.00516268590504_1.63674867783124_0.933584316364594_1.25912831469921_2.16535886841338	FALSE	Signature_APOBEC
PD31053a	4	0	0.47194022	0.147064	0.25127944	0.1297163752	0.2193159526	2.425648186	0.5181442147	0.298927074	FALSE	FALSE	Signature_3.Signature_8.Signature_17	2.42564818570984_1.41541950036283_0.101122619217222	FALSE	Signature_17
PD31056a	5	0.02374466	0.40662623	0.09838606	0.4179577	0.05328544	0.1928147734	0.563488304	0.9617059945	0.2600887964	FALSE	FALSE	Signature_3.Signature_2.Signature_17	0.563488304014526_1.6043194670998_2.81165766471615	FALSE	Signature_17
PD31058a	4	0.01715756	0.30142191	0.1508571	0.09900691	0.4315565578	0.1876598942	0	0	0.1126123981	FALSE	FALSE	Signature_8.Signature_1	4.32571673375837_0.901073179621385	FALSE	Signature_clock
PD31059a	10	0.003879751	0.76082823	0.03169365	0.17615166	0.0274466997	0.2771100472	3.845163126	0.8574388165	0.7984403911	TRUE	TRUE	Signature_3.Signature_8.Signature_2.Signature_18.Signature_17	3.84516312615716_0.79037619348088_2.03153944374973_1.27330367397415_0.410071580574556	TRUE	Signature_3_hc
PD31061a	5	0.007710261	0.60182222	0.1133479	0.0363	0.240819752	0.2200278118	0.5659421712	0.6501010844	0.1956988746	FALSE	FALSE	Signature_3.Signature_18	0.56594217115985_3.99653088404352	TRUE	Signature_clock
PD31063a	4	0.0902069	0.42050062	0.08166311	0.101353	0.3062764019	0.1453197525	0	0	0.1171084188	FALSE	FALSE	Signature_8.Signature_5.Signature_2	0.112749067510371_2.2019877497666_0.858842106611016	FALSE	Signature_clock
PD31065a	1	0.07569298	0.37806613	0.1160301	0.0709648	0.359246102	0.07879521502	0.02359103364	0.498036246	0.1174891331	FALSE	FALSE	Signature_3.Signature_5	0.0235910336352837_0.79772692070579	FALSE	Signature_clock
PD31066a	11	0.07041802	0.24883543	0.1287307	0.01542961	0.536586192	0.2991824283	0	0	0.2189114276	FALSE	FALSE	Signature_8.Signature_5.Signature_2.Signature_18	2.47226993177161_5.77672768745525_2.35159102678151_2.07192073590908	FALSE	Signature_clock
PD31067a	4	0.4654495399	0.529830378	0	0.002686422	0.002033709	0.2632311287	0	0	0.1226273788	FALSE	FALSE	Signature_13.Signature_18	4.49663022971463_0.896548161783781	TRUE	Signature_APOBEC
PD31068a	5	0.03971737	0.7562404	0.04761517	0.09926179	0.05716519	0.2361615899	1.207108165	0.5304062657	0.5247222387	TRUE	FALSE	Signature_3.Signature_5.Signature_13.Signature_18.Signature_17	1.20710816483575_1.35806992887842_1.25835892911882_0.00987310782531726_0.857852521306374	TRUE	Signature_3_lc
PD31072a	4	0.5745381136	0.398344272	0	0.015046195	0.01207146	0.2806495647	1.257065148	0.3302606025	0.1829534439	FALSE	FALSE	Signature_3.Signature_2.Signature_13	1.25706514814649_1.30899941670207_2.01036070055636	FALSE	Signature_APOBEC
PD31074a	12	0.0001233331	0.835887446	0.04037987	0.12073306	0.0028763536	0.3708452546	8.86354865	0.9937215254	0.9194451316	TRUE	TRUE	Signature_3.Signature_2.Signature_17	8.86354865046285_1.15258044218314_3.18197614429941	TRUE	Signature_3_hc
PD31078a	4	0.3738545042	0.54652553	0.01933813	0.02447266	0.03580907	0.2377931508	0	0	0.2127068167	FALSE	FALSE	Signature_8.Signature_1.Signature_13	0.476443472576026_1.40387887555964_3.08571532435624	TRUE	Signature_APOBEC
PD31080a	1	0.06757123	0.38622706	0.08889468	0.13866255	0.3186444675	0.09548079675	0	0	0.1189708352	FALSE	FALSE	Signature_5	1.107041772	FALSE	Signature_clock
PD31081a	3	0.01173456	0.219713	0.07150958	0.5809066	0.1161362546	0.09928819508	0.8351629046	0.5061428533	0.1407194816	FALSE	FALSE	Signature_3.Signature_8.Signature_5.Signature_17	0.835162904606933_0.494312420579012_0.0948641852351894_0.17413796539035	FALSE	Signature_17
PD31082a	2	0	0.68402129	0.06787899	0.0556251	0.1924746035	0.1611653163	0	0.6531767524	0.4012601131	TRUE	FALSE	Signature_3	1.958039673	TRUE	Signature_3_lc
PD31086a	6	0.8021542579	0.178756926	0	0.004745959	0.01434283	0.2444626449	1.269598868	0.5597214915	0.09162786402	FALSE	FALSE	Signature_3.Signature_5.Signature_2	1.2695988680872_2.0117066510637_4.03150904000067	FALSE	Signature_APOBEC
PD31087a	6	0.05376469	0.75116223	0.04687242	0	0.1482006664	0.3828084712	5.725117794	0.7060229291	0.8411669245	TRUE	TRUE	Signature_3.Signature_1.Signature_13	5.72511779432928_1.38586878073098_1.14634333146096	TRUE	Signature_3_hc
PD31088a	6	0.8628474372	0.112489905	0	0.004392081	0.020270633	0.2432731186	0	0	0.07507351781	FALSE	FALSE	Signature_5.Signature_2.Signature_13	3.05063233203486_2.94293216985649_1.1884815973898	FALSE	Signature_APOBEC
PD31089a	1	0.4407234801	0.42869548	0	0.08877402	0.04180706	0.2369723041	0	0	0.1468036285	FALSE	FALSE	Signature_13	1.662955713	FALSE	Signature_APOBEC
PD31090a	2	0.3917788607	0.35219237	0.03842941	0.03839605	0.1792033395	0.1235558592	0	0	0.09327411443	FALSE	FALSE	Signature_1.Signature_13	1.53565548128313_1.3797812365581	FALSE	Signature_APOBEC
PD31092a	3	0.1050408	0.6459838	0.0652643	0.05591427	0.12779679	0.1883150434	0.4117969601	0.4845830168	0.2836273806	FALSE	FALSE	Signature_3.Signature_5.Signature_13	0.411796960072993_0.388911796253192_1.61219633186566	TRUE	Signature_clock
PD31093a	1	0.06359749	0.3532069	0.08986381	0.1897013	0.3036304596	0.05536273147	0	0	0.1164937215	FALSE	FALSE	Signature_5	0.8328076521	FALSE	Signature_clock
PD31094a	4	0.05595038	0.45722778	0.1083042	0.09666452	0.2818530781	0.1785594072	0.303033868	0.4975559965	0.1771752266	FALSE	FALSE	Signature_3.Signature_5.Signature_13.Signature_18	0.303033868047341_2.69377696879015_0.114586447493604_0.449251706951507	FALSE	Signature_clock
PD31097a	9	0.0009885479	0.594755456	0.1281739	0.1168201628	0.1592619818	0.3222656413	0.7603809566	0.4886656174	0.4587599825	TRUE	FALSE	Signature_3.Signature_8.Signature_5.Signature_18.Signature_17	0.760380956584044_2.73801977695116_5.43148053563662_0.415872765150682_0.368163025517261	TRUE	Signature_3_lc
PD31098a	4	0.02073293	0.56138073	0.1749759	0.02595477	0.2169557125	0.3284766412	3.179534824	0.7134729235	0.508658616	TRUE	FALSE	Signature_3.Signature_8	3.17953482392931_2.74018534863192	TRUE	Signature_3_lc
PD31099a	2	0.1195625165	0.7231046	0.07034056	0.04616814	0.04082422	0.1677597301	1.700691609	0.5395223843	0.4212898651	TRUE	FALSE	Signature_3.Signature_13	1.70069160929955_0.262606426399817	TRUE	Signature_3_lc
PD31104a	10	0.04178275	0.7727561	0.06447681	0.07662252	0.04436187	0.259051382	5.641670314	0.8020340057	0.5213204422	TRUE	FALSE	Signature_3.Signature_5.Signature_2.Signature_17	5.64167031417999_0.30118405186955_1.68073910944576_0.813607552115553	TRUE	Signature_3_lc
PD31105a	3	0.05666898	0.5779171	0.1090952	0.0467838	0.2095347619	0.2565629325	3.569594711	0.6324714156	0.3016407303	FALSE	FALSE	Signature_3.Signature_8.Signature_2	3.56959471118915_0.0360239084229821_0.287534244054718	TRUE	Signature_clock
PD31106a	5	0.01364703	0.328119763	0.1700742	0.079177173	0.4089817918	0.1844054272	1.147647272	0.7365046829	0.107311457	FALSE	FALSE	Signature_3.Signature_1.Signature_17	1.14764727237126_3.09308710179421_0.698666959869145	FALSE	Signature_clock
PD31107a	11	0.0002130462	0.830065091	0.07429286	0.03617822	0.0592507484	0.3546360051	5.114423777	0.3835269931	0.8258879719	TRUE	TRUE	Signature_3.Signature_8	5.11442377652139_6.52767295342971	TRUE	Signature_3_hc
PD31108a	4	0.02236811	0.45160745	0.08373992	0.13396413	0.3083204372	0.1323445708	0	0	0.1733473296	FALSE	FALSE	Signature_5	3.04873921	FALSE	Signature_clock
PD31109a	2	0.236252112	0.62052661	0.02970551	0.08152583	0.0319899	0.2872848627	1.514055405	0.6294236862	0.339105443	FALSE	FALSE	Signature_3.Signature_13	1.51405540518789_1.53785961167008	TRUE	Signature_APOBEC
PD31111a	1	0.08725199	0.37768209	0.1111442	0.06970403	0.3542178405	0.1573392902	0.4780225523	0.4872820985	0.134128881	FALSE	FALSE	Signature_3.Signature_5	0.478022552324982_1.06675190763606	FALSE	Signature_clock
PD31112a	9	0.0179487	0.37189414	0.04647204	0.55603	0.007655029	0.3417894834	0.5943193704	0.505996779	0.5697517928	TRUE	FALSE	Signature_3.Signature_8.Signature_1.Signature_13.Signature_17	0.59431937037956_2.37323590875402_0.530715230944853_3.4344890976431_3.29145749734081	FALSE	Signature_3_lc
PD31113a	2	0.0612686	0.3905043	0.1172413	0.04715657	0.3838292278	0.157801367	0.4036722184	0.4793388999	0.1260027441	FALSE	FALSE	Signature_3.Signature_5	0.403672218434587_1.84802083171978	FALSE	Signature_clock
PD31116a	2	0.0554035	0.30846872	0.1645504	0.07959411	0.3919832593	0.1151852498	0.3285690132	0.5784244608	0.1166694277	FALSE	FALSE	Signature_3.Signature_1.Signature_18.Signature_17	0.328569013244839_1.42161914697194_0.135407962566672_0.0978835604433233	FALSE	Signature_clock
PD31117a	3	0.0161691	0.38422744	0.1092343	0.34518833	0.145180799	0.08737430075	0.5613075619	0.4346272822	0.1636520832	FALSE	FALSE	Signature_3.Signature_8.Signature_5.Signature_17	0.561307561893438_0.266752030175487_0.310837037998812_0.354589178223046	FALSE	Signature_17
PD31120a	4	0.0222811	0.8631901	0.0208764	0.07960704	0.01404531	0.2157346315	0.6598723957	0.6996391841	0.6689023865	TRUE	TRUE	Signature_3.Signature_8.Signature_13	0.659872395701523_1.49898354447258_1.32194148721077	TRUE	Signature_3_hc
PD31121a	4	0.01088849	0.71589906	0.1331838	0.02592597	0.1141026762	0.3137943707	4.659187049	0.8548804578	0.6449095939	TRUE	TRUE	Signature_3.Signature_8	4.65918704930096_0.814324570211463	TRUE	Signature_3_hc
PD31122a	20	0.000335637	0.03229924929	0.0136059	0.001402331	0.9523569042	0.2645701368	0	0	0.09736389349	FALSE	FALSE	Signature_1.Signature_5.Signature_13	4.2088575657174_17.9942462842941_0.929177214254725	FALSE	Signature_clock
PD31123a	4	0.04942398	0.42991773	0.1711204	0.05448606	0.2950518001	0.2504124733	1.856376091	0.4715011403	0.1906792967	FALSE	FALSE	Signature_3.Signature_8.Signature_5.Signature_2.Signature_18	1.85637609088938_1.97785676330237_0.390020450390946_0.272946660533046_0.156514750996934	FALSE	Signature_clock
PD31124a	12	0.1774027186	0.82143817	0	0.0002587695	0.0009003248	0.3769618635	4.321555428	0.7141638692	0.6370474799	TRUE	TRUE	Signature_3.Signature_1.Signature_13.Signature_18	4.32155542759214_1.04681444584362_6.62643838327096_0.278355283384419	TRUE	Signature_3_hc
